"","nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn","key","nom_eni_fusion_trait_code"
"761","Ervilia hirsuta","Ervilia hirsuta","Ervilia hirsuta (L.) Opiz, 1852",97084,97084,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Ervilia hirsuta","ERVIHIRSUTA","ERVIHIRSUTA"
"762","Vicia hybrida","Vicia hybrida","Vicia hybrida L., 1753",129195,129195,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia hybrida","VICIHYBRIDA","VICIHYBRIDA"
"763","Vicia lutea","Vicia lutea","Vicia hybrida L., 1753",129226,129195,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia hybrida","VICILUTEA","VICILUTEA"
"764","Vicia lutea","Vicia lutea","Vicia lutea L., 1753",129225,129225,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia lutea","VICILUTEA","VICILUTEA"
"765","Ervum pubescens","Ervum pubescens","Ervum pubescens DC., 1813",97116,97116,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Ervum pubescens","ERVUPUBESCE","ERVUPUBESCE"
"766","Vicia sepium","Vicia sepium","Vicia sepium L., 1753",129305,129305,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia sepium","VICISEPIUM","VICISEPIUM"
"767","Vicia tenuifolia","Vicia tenuifolia","Vicia tenuifolia Roth, 1788",129322,129322,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia tenuifolia","VICITENUIFO","VICITENUIFO"
"768","Ervum tetraspermum","Ervum tetraspermum","Ervum tetraspermum L., 1753",97128,97128,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Ervum tetraspermum","ERVUTETRASP","ERVUTETRASP"
"769","Vicia villosa","Vicia villosa","Vicia benghalensis L., 1753",129341,129124,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia benghalensis","VICIVILLOSA","VICIVILLOSA"
"770","Vicia villosa","Vicia villosa","Vicia villosa Roth, 1793",129340,129340,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia villosa","VICIVILLOSA","VICIVILLOSA"
"771","Vicia dasycarpa","Vicia dasycarpa","Vicia dasycarpa Ten., 1829",129153,129153,"Angiospermes","Fabales","Fabaceae","Papilionoideae",NA,"Vicia dasycarpa","VICIDASYCAR","VICIDASYCAR"
"772","Viola arvensis","Viola arvensis","Viola arvensis Murray, 1770",129506,129506,"Angiospermes","Malpighiales","Violaceae",NA,NA,"Viola arvensis","VIOLARVENSI","VIOLARVENSI"
"773","Viola hirta","Viola hirta","Viola hirta L., 1753",129586,129586,"Angiospermes","Malpighiales","Violaceae",NA,NA,"Viola hirta","VIOLHIRTA","VIOLHIRTA"
"774","Vitis rupestris","Vitis rupestris","Vitis rupestris Scheele, 1848",129961,129961,"Angiospermes","Vitales","Vitaceae","Vitoideae","Viteae","Vitis rupestris","VITIRUPESTR","VITIRUPESTR"
"775","Vitis vinifera","Vitis vinifera","Vitis vinifera L., 1753",129968,129968,"Angiospermes","Vitales","Vitaceae","Vitoideae","Viteae","Vitis vinifera","VITIVINIFER","VITIVINIFER"
"776","Vulpia myuros","Vulpia myuros","Vulpia alopecuros (Schousb.) Dumort., 1824",621041,129993,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia alopecuros","VULPMYUROS","VULPMYUROS"
"777","Vulpia myuros","Vulpia myuros","Vulpia myuros (L.) C.C.Gmel., 1805",130028,130028,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia myuros","VULPMYUROS","VULPMYUROS"
"778","Vulpia bromoides","Vulpia bromoides","Vulpia bromoides (L.) Gray, 1821",129997,129997,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia bromoides","VULPBROMOID","VULPBROMOID"
"779","Vulpia ciliata","Vulpia ciliata","Vulpia alopecuros (Schousb.) Dumort., 1824",130000,129993,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia alopecuros","VULPCILIATA","VULPCILIATA"
"780","Vulpia ciliata","Vulpia ciliata","Vulpia ciliata Dumort., 1824",129999,129999,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia ciliata","VULPCILIATA","VULPCILIATA"
"781","Vulpia fasciculata","Vulpia fasciculata","Vulpia fasciculata (Forssk.) Fritsch, 1909",130005,130005,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia fasciculata","VULPFASCICU","VULPFASCICU"
"782","Vulpia ligustica","Vulpia ligustica","Vulpia ligustica (All.) Link, 1827",130015,130015,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia ligustica","VULPLIGUSTI","VULPLIGUSTI"
"783","Xanthium orientale gpe","Xanthium orientale","Xanthium orientale L., 1763",130484,130484,"Angiospermes","Asterales","Asteraceae","Asteroideae","Heliantheae","Xanthium orientale","XANTORIENTA","XANTORIENTA"
"784","Xanthium orientale gpe","Xanthium orientale","Xanthium strumarium L., 1753",637361,130492,"Angiospermes","Asterales","Asteraceae","Asteroideae","Heliantheae","Xanthium strumarium","XANTORIENTA","XANTORIENTA"
"785","Zea mays","Zea mays","Zea mays L., 1753",130621,130621,"Angiospermes","Poales","Poaceae","Panicoideae","Andropogoneae","Zea mays","ZEAMAYS","ZEAMAYS"
