"","nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn","key","nom_eni_fusion_trait_code"
"573","Ranunculus arvensis","Ranunculus arvensis","Ranunculus arvensis L., 1753",116932,116932,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus arvensis","RANUARVENSI","RANUARVENSI"
"574","Ficaria verna","Ficaria verna","Ficaria verna Huds., 1762",98651,98651,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ficaria verna","FICAVERNA","FICAVERNA"
"575","Ranunculus muricatus","Ranunculus muricatus","Ranunculus muricatus L., 1753",117128,117128,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus muricatus","RANUMURICAT","RANUMURICAT"
"576","Ranunculus muricatus","Ranunculus muricatus","Ranunculus parviflorus L., 1758",117129,117156,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus parviflorus","RANUMURICAT","RANUMURICAT"
"577","Ranunculus muricatus","Ranunculus muricatus","Ranunculus parviflorus L., 1758",117130,117156,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus parviflorus","RANUMURICAT","RANUMURICAT"
"578","Ranunculus parviflorus","Ranunculus parviflorus","Ranunculus parviflorus L., 1758",117156,117156,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus parviflorus","RANUPARVIFL","RANUPARVIFL"
"579","Ranunculus sardous","Ranunculus sardous","Ranunculus sardous Crantz, 1763",117221,117221,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus sardous","RANUSARDOUS","RANUSARDOUS"
"580","Ranunculus sardous","Ranunculus sardous","Ranunculus sardous Crantz, 1763",117220,117221,"Angiospermes","Ranunculales","Ranunculaceae","Ranunculoideae","Ranunculeae","Ranunculus sardous","RANUSARDOUS","RANUSARDOUS"
"581","Raphanus raphanistrum","Raphanus raphanistrum","Raphanus raphanistrum L., 1753",117353,117353,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Raphanus raphanistrum","RAPHRAPHANI","RAPHRAPHANI"
"582","Rapistrum rugosum","Rapistrum rugosum","Rapistrum rugosum (L.) All., 1785",117393,117393,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Rapistrum rugosum","RAPIRUGOSUM","RAPIRUGOSUM"
"583","Rapistrum rugosum","Rapistrum rugosum","Rapistrum rugosum (L.) All., 1785",117394,117393,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Rapistrum rugosum","RAPIRUGOSUM","RAPIRUGOSUM"
"584","Reichardia picroides","Reichardia picroides","Reichardia picroides (L.) Roth, 1787",117426,117426,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Reichardia picroides","REICPICROID","REICPICROID"
"585","Reseda lutea","Reseda lutea","Reseda lutea L., 1753",117458,117458,"Angiospermes","Brassicales","Resedaceae",NA,NA,"Reseda lutea","RESELUTEA","RESELUTEA"
"586","Reseda luteola","Reseda luteola","Reseda luteola L., 1753",117459,117459,"Angiospermes","Brassicales","Resedaceae",NA,NA,"Reseda luteola","RESELUTEOLA","RESELUTEOLA"
"587","Reseda phyteuma","Reseda phyteuma","Reseda lutea L., 1753",117470,117458,"Angiospermes","Brassicales","Resedaceae",NA,NA,"Reseda lutea","RESEPHYTEUM","RESEPHYTEUM"
"588","Reseda phyteuma","Reseda phyteuma","Reseda phyteuma L., 1753",117469,117469,"Angiospermes","Brassicales","Resedaceae",NA,NA,"Reseda phyteuma","RESEPHYTEUM","RESEPHYTEUM"
"589","Rhagadiolus edulis","Rhagadiolus edulis","Rhagadiolus edulis Gaertn., 1791",117512,117512,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Rhagadiolus edulis","RHAGEDULIS","RHAGEDULIS"
"590","Rheum x hybridum","Rheum x hybridum","Rheum x hybridum Murray, 1775",117585,117585,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rheum x hybridum","RHEUX","RHEUX"
"591","Rhinanthus minor","Rhinanthus minor","Rhinanthus minor L., 1756",117616,117616,"Angiospermes","Lamiales","Orobanchaceae",NA,"Rhinantheae","Rhinanthus minor","RHINMINOR","RHINMINOR"
"592","Rhinanthus minor","Rhinanthus minor","Rhinanthus minor L., 1756",161945,117616,"Angiospermes","Lamiales","Orobanchaceae",NA,"Rhinantheae","Rhinanthus minor","RHINMINOR","RHINMINOR"
"593","Robinia pseudoacacia","Robinia pseudoacacia","Robinia pseudoacacia L., 1753",117860,117860,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Robinieae","Robinia pseudoacacia","ROBIPSEUDOA","ROBIPSEUDOA"
"594","Rorippa sylvestris","Rorippa sylvestris","Rorippa sylvestris (L.) Besser, 1821",117951,117951,"Angiospermes","Brassicales","Brassicaceae",NA,NA,"Rorippa sylvestris","RORISYLVEST","RORISYLVEST"
"595","Rosa canina","Rosa canina","Rosa canina L., 1753",118073,118073,"Angiospermes","Rosales","Rosaceae","Rosoideae","Roseae","Rosa canina","ROSACANINA","ROSACANINA"
"596","Rosa arvensis","Rosa arvensis","Rosa arvensis Huds., 1762",118016,118016,"Angiospermes","Rosales","Rosaceae","Rosoideae","Roseae","Rosa arvensis","ROSAARVENSI","ROSAARVENSI"
"597","Rosa sempervirens","Rosa sempervirens","Rosa luciae Franch. & Rochebr., 1871",118499,118299,"Angiospermes","Rosales","Rosaceae","Rosoideae","Roseae","Rosa luciae","ROSASEMPERV","ROSASEMPERV"
"598","Rosa sempervirens","Rosa sempervirens","Rosa sempervirens L., 1753",118498,118498,"Angiospermes","Rosales","Rosaceae","Rosoideae","Roseae","Rosa sempervirens","ROSASEMPERV","ROSASEMPERV"
"599","Rostraria cristata","Rostraria cristata","Rostraria cristata (L.) Tzvelev, 1971",118872,118872,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Rostraria cristata","ROSTCRISTAT","ROSTCRISTAT"
"600","Rubia peregrina","Rubia peregrina","Rubia peregrina L., 1753",118916,118916,"Angiospermes","Gentianales","Rubiaceae","Rubioideae","Rubieae","Rubia peregrina","RUBIPEREGRI","RUBIPEREGRI"
"601","Rubia tinctorum","Rubia tinctorum","Rubia tinctorum L., 1753",118920,118920,"Angiospermes","Gentianales","Rubiaceae","Rubioideae","Rubieae","Rubia tinctorum","RUBITINCTOR","RUBITINCTOR"
"602","Rumex crispus","Rumex crispus","Rumex crispus L., 1753",119473,119473,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex crispus","RUMECRISPUS","RUMECRISPUS"
"603","Rumex acetosa","Rumex acetosa","Rumex acetosa L., 1753 [nom. et typ. cons.]",119418,119418,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex acetosa","RUMEACETOSA","RUMEACETOSA"
"604","Rumex conglomeratus","Rumex conglomeratus","Rumex conglomeratus Murray, 1770",119471,119471,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex conglomeratus","RUMECONGLOM","RUMECONGLOM"
"605","Rumex conglomeratus","Rumex conglomeratus","Rumex crispus L., 1753",651357,119473,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex crispus","RUMECONGLOM","RUMECONGLOM"
"606","Rumex conglomeratus","Rumex conglomeratus","Rumex crispus L., 1753",651358,119473,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex crispus","RUMECONGLOM","RUMECONGLOM"
"607","Rumex obtusifolius","Rumex obtusifolius","Rumex obtusifolius L., 1753",119550,119550,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex obtusifolius","RUMEOBTUSIF","RUMEOBTUSIF"
"608","Rumex acetosella","Rumex acetosella","Rumex acetosella L., 1753",119419,119419,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex acetosella","RUMEACETOSE","RUMEACETOSE"
"609","Rumex bucephalophorus","Rumex bucephalophorus","Rumex bucephalophorus L., 1753",119461,119461,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex bucephalophorus","RUMEBUCEPHA","RUMEBUCEPHA"
"610","Rumex bucephalophorus","Rumex bucephalophorus","Rumex bucephalophorus subsp. gallicus (Steinh.) Rech.f., 1939",140352,140355,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex bucephalophorus","RUMEBUCEPHA","RUMEBUCEPHA"
"611","Rumex pulcher","Rumex pulcher","Rumex pulcher L., 1753",119569,119569,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex pulcher","RUMEPULCHER","RUMEPULCHER"
"612","Rumex sanguineus","Rumex sanguineus","Rumex britannica L., 1753",771867,762006,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex britannica","RUMESANGUIN","RUMESANGUIN"
"613","Rumex sanguineus","Rumex sanguineus","Rumex obtusifolius subsp. obtusifolius L., 1753",119586,140371,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex obtusifolius","RUMESANGUIN","RUMESANGUIN"
"614","Rumex sanguineus","Rumex sanguineus","Rumex sanguineus L., 1753",119585,119585,"Angiospermes","Caryophyllales","Polygonaceae","Polygonoideae","Rumiceae","Rumex sanguineus","RUMESANGUIN","RUMESANGUIN"
"615","Sagina apetala","Sagina apetala","Sagina apetala Ard., 1763",119780,119780,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Sagina apetala","SAGIAPETALA","SAGIAPETALA"
"616","Sagina apetala","Sagina apetala","Sagina apetala Ard., 1763",620563,119780,"Angiospermes","Caryophyllales","Caryophyllaceae",NA,NA,"Sagina apetala","SAGIAPETALA","SAGIAPETALA"
"617","Salix caprea","Salix caprea","Salix caprea L., 1753",119977,119977,"Angiospermes","Malpighiales","Salicaceae","Salicoideae",NA,"Salix caprea","SALICAPREA","SALICAPREA"
"618","Salix caprea","Salix caprea","Salix cinerea L., 1753",119978,119991,"Angiospermes","Malpighiales","Salicaceae","Salicoideae",NA,"Salix cinerea","SALICAPREA","SALICAPREA"
