ID_ENI;NOM_SCIENTIFIQUE;ID_TaxRef;Family;Taxa name;RED LIST STATUS FR;POP. TREND;PN;Messicole;Agrotolerance;Native_Status;Residence_Time;Naturalization status;Chorology;FM Type;IndVal;P-value;Rank
CREPIS MICRANTHA;Crepis micrantha Czerep.;93086;Asteraceae;Crepis micrantha Czerep., 1964;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;7;2,1;;species
Crepis sancta;Crepis sancta (L.) Bornm.;93129;Asteraceae;Crepis sancta (L.) Bornm., 1913;NA;Not_assessed;-;-;agrotolerant;Alien;Neophyt;Naturalized;introduced;7;47,1;***;species
Crepis setosa;Crepis setosa Haller f.;93134;Asteraceae;Crepis setosa Haller f., 1797;LC;Increase;-;-;;Native;-;-;european;6;8,6;***;species
Crepis vesicaria subsp. taraxacifolia;Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell. ex Schinz & R.Keller;133531;Asteraceae;Crepis vesicaria subsp. taraxacifolia (Thuill.) Thell., 1914;LC;Stable;-;-;;Native;-;-;mediterranean;7;9,1;**;subsp
Cruciata glabra;Cruciata glabra (L.) Ehrend.;93307;Rubiaceae;Cruciata glabra (L.) Ehrend., 1958;LC;Stable;-;-;;Native;-;-;european;7;2,1;;species
Cruciata laevipes;Cruciata laevipes Opiz;93308;Rubiaceae;Cruciata laevipes Opiz, 1852;LC;Stable;-;-;;Native;-;-;european;4;26,1;***;species
Cyanus segetum;Cyanus segetum Hill;93680;Asteraceae;Cyanus segetum Hill, 1762;LC;Not_known;-;messicole;;Alien;Archaeophyt;Naturalized;introduced;5;2,1;;species
Cynodon dactylon;Cynodon dactylon (L.) Pers.;93803;Poaceae;Cynodon dactylon (L.) Pers., 1805;LC;Stable;-;-;;Native;-;-;thermo-cosmopolit;7;31,6;***;species
Cynoglossum creticum;Cynoglossum creticum Mill.;93828;Boraginaceae;Cynoglossum creticum Mill., 1768;LC;Decrease;-;-;;Native;-;-;mediterranean;7;2,1;;species
Cynosurus cristatus;Cynosurus cristatus L.;93860;Poaceae;Cynosurus cristatus L., 1753;LC;Stable;-;-;;Native;-;-;european;2;1;;species
Cyperus eragrostis;Cyperus eragrostis Lam.;93923;Cyperaceae;Cyperus eragrostis Lam., 1791;NA;Not_assessed;-;-;;Alien;Neophyt;Invasive;introduced;5;1,4;;species
Cyperus longus;Cyperus longus L.;93967;Cyperaceae;Cyperus longus L., 1753;LC;Not_known;-;-;;Native;-;-;subtropical;6;7,6;**;species
Dactylis glomerata;Dactylis glomerata L. ;94207;Poaceae;Dactylis glomerata L., 1753;LC;Stable;-;-;;Native;-;-;eurasiatic;4;19,8;***;species
Datura stramonium;Datura stramonium L. ;94489;Solanaceae;Datura stramonium L., 1753;NA;Not_assessed;-;-;;Alien;Neophyt;Invasive;introduced;5;1,5;;species
Daucus carota;Daucus carota L. ;94503;Apiaceae;Daucus carota L., 1753;LC;Stable;-;-;agrotolerant;Native;-;-;european;5;16,6;**;species
Dianthus armeria;Dianthus armeria L. ;94693;Caryophyllaceae;Dianthus armeria L., 1753;LC;Stable;-;-;;Native;-;-;european;5;4,3;*;species
Digitalis purpurea;Digitalis purpurea L.;94959;Plantaginaceae;Digitalis purpurea L., 1753;LC;Stable;-;-;;Native;-;-;mediterranean;2;1;;species
Digitaria ischaemum;Digitaria ischaemum (Schreb.) Muhl.;94985;Poaceae;Digitaria ischaemum (Schreb.) Schreb. ex Muhl., 1817;LC;Stable;-;-;;Native;-;-;thermo-cosmopolit;5;1,4;;species
Digitaria sanguinalis;Digitaria sanguinalis (L.) Scop.;94995;Poaceae;Digitaria sanguinalis (L.) Scop., 1771;LC;Stable;-;-;;Native;-;-;thermo-cosmopolit;5;11,5;***;species
Diplotaxis erucoides;Diplotaxis erucoides (L.) DC.;95111;Brassicaceae;Diplotaxis erucoides (L.) DC., 1821;LC;Stable;-;-;agrotolerant;Native;-;-;mediterranean;7;40,4;***;species
Diplotaxis tenuifolia;Diplotaxis tenuifolia (L.) DC.;95136;Brassicaceae;Diplotaxis tenuifolia (L.) DC., 1821;LC;Not_known;-;-;;Native;-;-;european;7;2,1;;species
Dipsacus fullonum;Dipsacus fullonum L.;95149;Caprifoliaceae;Dipsacus fullonum L., 1753;LC;Stable;-;-;;Native;-;-;european;7;2;;species
Dittrichia viscosa;Dittrichia viscosa (L.) Greuter ;95187;Asteraceae;Dittrichia viscosa (L.) Greuter, 1973;LC;Not_known;-;-;;Native;-;-;mediterranean;7;17;***;species
Draba;#N/A;191944;Brassicaceae;Draba L., 1753;NA;NA;-;-;;NA;NA;NA;NA;NA;NA;;genus
Dryopteris filix-mas;Dryopteris filix-mas (L.) Schott;95567;Dryopteridaceae;Dryopteris filix-mas (L.) Schott, 1834;LC;Stable;-;-;;Native;-;-;holarctic;NA;NA;;species
Dysphania ambrosioides;Dysphania ambrosioides (L.) Mosyakin & Clemants;611753;Amaranthaceae;Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;7;2,1;;species
Echinochloa crus-galli;Echinochloa crus-galli (L.) P.Beauv.;95671;Poaceae;Echinochloa crus-galli (L.) P.Beauv., 1812;LC;Stable;-;-;agrotolerant;Native;-;-;thermo-cosmopolit;5;8,9;*;species
Echium plantagineum;Echium plantagineum L.;95774;Boraginaceae;Echium plantagineum L., 1771;LC;Stable;-;-;;Native;-;-;european;7;12,8;***;species
Echium vulgare;Echium vulgare L.;95793;Boraginaceae;Echium vulgare L., 1753;LC;Stable;-;-;;Native;-;-;european;5;5,4;*;species
Roegneria canina;Elymus caninus (L.) L.;95992;Poaceae;Elymus caninus (L.) L., 1755;LC;Stable;-;-;;Native;-;-;holarctic;5;1,1;;species
Elytrigia campestris;Elytrigia campestris (Godr. & Gren.) KerguÇlen ex Carreras;96029;Poaceae;Elytrigia campestris (Godr. & Gren.) KerguÇlen ex Carreras, 1986;LC;Not_known;-;-;;Native;-;-;mediterranean;6;5,4;*;species
Elytrigia repens;Elytrigia repens (L.) Desv. ex Nevski;96046;Poaceae;Elytrigia repens (L.) Desv. ex Nevski, 1934;LC;Not_known;-;-;;Native;-;-;holarctic;5;15,7;*;species
Epilobium angustifolium;Epilobium angustifolium L.;96136;Onagraceae;Epilobium angustifolium L., 1753;LC;Stable;-;-;;Native;-;-;circumboreal;5;1,4;;species
Epilobium ciliatum;Epilobium ciliatum Raf.;96149;Onagraceae;Epilobium ciliatum Raf., 1808;NA;Not_assessed;-;-;;Alien;Neophyt;Naturalized;introduced;5;1,4;;species
Epilobium hirsutum;Epilobium hirsutum L.;96180;Onagraceae;Epilobium hirsutum L., 1753;LC;Not_known;-;-;;Native;-;-;european;4;5,5;*;species
