link;id_parcelle;code_parcelle;region;plante_reference;region_code;Azote.Dumas.g.kg;limons_grossiers;Capacite.d.Echange.Cationique..CEC..mEq.kg;Calcaire.actif..CaCO3....Methode.A.g.kg;argiles;Matieres.Organiques..Carbone.x.1.73..g.kg;Calcaire.total..CaCO3..g.kg;limons_fins;sables_fins;pH.eau.pH.units.No.unit;Capacite.d.Echange.Cationique..CEC..mEq.100.g;sables_grossiers;Carbone.organique.g.kg;Granulometrie...Pratique.de.la.decarbonatation.No.unit.No.unit;Cuivre..Cu..mg.kg;Phosphore.Olsen..P2O5..mg.kg;Cuivre.extractible.EDTA..Cu..mg.kg;Phosphore.Olsen..P2O5..g.kg;Calcaire.actif..CaCO3....Methode.B.g.kg
443-54179;443;54179;GRAND-EST;Ble;G-E;1.56;262;150.5;Non mesure;303;22.04;Non mesure;297;89;5.9;15.05;49;12.74;OUI;#N/A;30;#N/A;0.030;#N/A
517-AL006;517;AL006;GRAND-EST;Mais;G-E;2.38;335;152.0;6.4;234;35.26;65.8;344;15;7.9;15.20;7;20.38;OUI;#N/A;56;#N/A;0.056;#N/A
501-54296;501;54296;GRAND-EST;Ble;G-E;3.04;73;281.9;Non mesure;601;25.29;Non mesure;308;8;6.5;28.19;10;14.62;OUI;#N/A;20;#N/A;0.020;#N/A
355-54112;355;54112;GRAND-EST;Ble;G-E;2.58;209;238.5;Non mesure;447;28.65;5.2;315;19;7.1;23.85;5;16.56;OUI;#N/A;34;#N/A;0.034;#N/A
143-AL003;143;AL003;GRAND-EST;Mais;G-E;1.98;124;135.6;Non mesure;187;30.55;8.3;153;197;7.8;13.56;331;17.66;OUI;#N/A;77;#N/A;0.077;#N/A
542-AL022;542;AL022;GRAND-EST;Mais;G-E;2.62;89;194.6;Non mesure;242;37.96;16.7;148;231;7.9;19.46;273;21.94;OUI;#N/A;73;#N/A;0.073;#N/A
519-AL004;519;AL004;GRAND-EST;Mais;G-E;1.65;250;142.7;Non mesure;230;25.43;6.3;245;139;7.6;14.27;130;14.70;OUI;#N/A;101;#N/A;0.101;#N/A
124-AL005;124;AL005;GRAND-EST;Mais;G-E;1.26;376;136.2;Non mesure;252;17.78;Non mesure;298;42;6.5;13.62;31;10.28;OUI;#N/A;138;#N/A;0.138;#N/A
462-AL017;462;AL017;GRAND-EST;Salade;G-E;1.84;97;98.5;8.8;184;27.63;113.1;97;253;8.1;9.85;256;15.97;OUI;15.8;56;3.77;0.056;#N/A
184-AL002;184;AL002;GRAND-EST;Vigne;G-E;0.96;188;85.3;Non mesure;187;14.17;Non mesure;185;175;6.1;8.53;265;8.19;OUI;30.7;62;13.78;0.062;#N/A
