id_parcelle;type_production
554;Conventionnel
554;Biologique
555;Conventionnel
556;Conventionnel
557;Conventionnel
557;Biologique
558;Conventionnel
559;Conventionnel
560;Conventionnel
561;Conventionnel
562;Conventionnel
563;Biologique
564;Conventionnel
565;NA
566;Conventionnel
567;NA
568;Biologique
569;Conventionnel
570;Conventionnel
571;NA
572;Biologique
573;NA
574;NA
575;Conventionnel
576;Conventionnel
577;Biologique
