"","id_parc_an","id_parcelle","annee","forbs_100","graminoid_100","annual_100","perennial_100","indigenous_100","neophytes_100","rich_sp","shannon","invsimp","simpson","nat_val_100","agrotolerant_100","messicole_100","not_messicole_100","seed_prone_100","other_seeds_100","weeds_100","not_weeds_100"
"638","AL019_2013",461,2013,78.2608695652174,21.7391304347826,10.8695652173913,89.1304347826087,100,0,11,0.597669325414477,1.48893637554284,0.32837962962963,82.6086956521739,17.3913043478261,2.17391304347826,97.8260869565217,21.7391304347826,78.2608695652174,0,100
"639","AL019_2014",461,2014,83.3333333333333,16.6666666666667,16.6666666666667,83.3333333333333,100,0,14,0.632983155034693,1.50525802934284,0.335662072211913,75,25,0,100,16.6666666666667,83.3333333333333,16.6666666666667,83.3333333333333
"640","AL019_2015",461,2015,70.2702702702703,29.7297297297297,5.40540540540541,94.5945945945946,100,0,9,0.574976938922571,1.47791252723768,0.323369968404646,70.2702702702703,29.7297297297297,0,100,29.7297297297297,70.2702702702703,24.3243243243243,75.6756756756757
"641","AL019_2016",461,2016,72.2222222222222,27.7777777777778,0,100,100,0,9,0.572532878531419,1.47652205710609,0.322732772472122,72.2222222222222,27.7777777777778,0,100,27.7777777777778,72.2222222222222,19.4444444444444,80.5555555555556
"642","AL019_2017",461,2017,51.2820512820513,48.7179487179487,23.0769230769231,76.9230769230769,100,0,8,0.577575798736621,1.47981182604187,0.324238404909389,76.9230769230769,23.0769230769231,0,100,66.6666666666667,33.3333333333333,0,100
"643","AL019_2018",461,2018,62.5,37.5,4.16666666666667,95.8333333333333,100,0,16,0.609058622302361,1.49020485935682,0.328951322550644,84.4444444444444,15.5555555555556,0,100,37.5,62.5,31.25,68.75
"644","AL020_2013",518,2013,40.8163265306122,59.1836734693878,32.6530612244898,67.3469387755102,93.8775510204082,6.12244897959184,16,0.645738983091653,1.54415531424384,0.352396750005883,87.7551020408163,12.2448979591837,0,100,59.1836734693878,40.8163265306122,44.8979591836735,55.1020408163265
"645","AL020_2014",518,2014,37.037037037037,62.962962962963,40.7407407407407,59.2592592592593,98.1481481481482,1.85185185185185,18,0.653097959338981,1.54865859489816,0.354279888870043,84,16,0,100,75.9259259259259,24.0740740740741,53.7037037037037,46.2962962962963
"646","AL020_2015",518,2015,37.5,62.5,14.5833333333333,85.4166666666667,100,0,15,0.634770874311241,1.54007597437459,0.350681384140096,93.75,6.25,0,100,62.5,37.5,29.1666666666667,70.8333333333333
"647","AL020_2016",518,2016,61.5384615384615,38.4615384615385,51.2820512820513,48.7179487179487,100,0,17,0.616167266588245,1.52798767330662,0.345544458591106,71.7948717948718,28.2051282051282,0,100,43.5897435897436,56.4102564102564,35.8974358974359,64.1025641025641
