"","id_parcelle","TypeCulture","region_biogeo","clust","code_postal","coord_x","coord_y"
"277",243,"GrandesCultures","MC","2",23800,1.59712429071,46.2866246719
"278",244,"GrandesCultures","MC","2",23800,1.66948460972,46.3156282769
"279",158,"GrandesCultures","MC","1",23320,1.69578670588,46.2325814662
"280",317,"GrandesCultures","MC","1",23240,1.63212030558,46.1784886231
"281",160,"GrandesCultures","MC","2",87300,1.09526670267,46.0772016663
"282",316,"GrandesCultures","MC","1",87800,1.24325276842,45.6554162822
"283",318,"GrandesCultures","MC","2",87260,1.33627351436,45.6915650039
"284",1,"GrandesCultures","ZSO","3",86600,0.0894155841217,46.4047933133
"285",12,"GrandesCultures","BPS","3",86210,0.665049501564,46.6767615599
"286",35,"GrandesCultures","MA","3",79200,-0.144604178418,46.7463394781
"287",36,"GrandesCultures","BPS","3",79390,-0.104346256032,46.7250804666
"288",68,"GrandesCultures","ZSO","3",86480,0.0733726847922,46.4076407911
"289",86,"GrandesCultures","ZSO","3",79500,-0.100548231638,46.2536209838
"290",507,"GrandesCultures","ZSO","1",79500,-0.149905108038,46.2346273867
"291",70,"GrandesCultures","ZSO","3",79230,-0.374768661926,46.291453647
"292",104,"GrandesCultures","ZSO","3",17380,-0.621928040378,45.9684328591
"293",119,"GrandesCultures","ZSO","3",17220,-1.01113953225,46.1740374277
"294",101,"GrandesCultures","ZSO","3",16560,0.199774979087,45.7896123023
"295",10,"GrandesCultures","BPS","3",86210,0.653656636192,46.6864406737
"296",46,"GrandesCultures","ZSO","3",79120,0.121983047474,46.2850059458
"297",122,"GrandesCultures","ZSO","3",17690,-1.08533342384,46.1033399148
"298",118,"GrandesCultures","ZSO","3",16230,0.2475975986,45.8429778104
"299",92,"GrandesCultures","ZSO","3",16240,-0.00832741812406,46.0062486596
"300",102,"GrandesCultures","ZSO","2",86600,0.140879339574,46.4416209176
"301",226,"GrandesCultures","ZSO","3",79500,-0.0460568566743,46.2061390149
"302",59,"GrandesCultures","ZSO","3",79800,-0.0675749907938,46.4100882489
"303",121,"GrandesCultures","ZSO","3",86600,0.0844776018785,46.3740447508
"304",6,"GrandesCultures","ZSO","3",79800,-0.112173045857,46.3727909535
"305",69,"GrandesCultures","ZSO","3",79360,-0.452592905418,46.2138988865
"306",204,"GrandesCultures","ZSO","3",79360,-0.459429064967,46.225885488
"307",85,"GrandesCultures","ZSO","3",79000,-0.528422779652,46.3349611008
"308",105,"Maraichage","BPS","2",86380,0.377178337268,46.7300388557
"309",54,"Maraichage","BPS","2",86380,0.369841449392,46.7207372758
"310",17,"Maraichage","BPS","2",86380,0.372427640713,46.7747738792
"311",53,"Vigne","BPS","3",86170,0.244328305749,46.6612156965
"312",522,"Vigne","BPS","3",86380,0.29931231402,46.6854566447
"313",90,"Vigne","BPS","2",86380,0.407920030029,46.7535635259
"314",34,"Vigne","ZSO","2",17120,-0.819506442091,45.6701804683
"315",43,"Vigne","ZSO","2",17610,-0.422321782225,45.7151135562
"316",88,"Vigne","ZSO","3",16370,-0.276591244218,45.7988892723
