"nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn"
"Lolium multiflorum","Lolium multiflorum","Lolium multiflorum Lam., 1779",106497,106497,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Lolium multiflorum"
"Lolium multiflorum","Lolium multiflorum","Lolium temulentum L., 1753",106496,106517,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Lolium temulentum"
"Lolium rigidum","Lolium rigidum","Lolium rigidum Gaudin, 1811",106507,106507,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Lolium rigidum"
"Lolium x boucheanum","Lolium x boucheanum","Lolium x boucheanum Kunth, 1830",106523,106523,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Lolium x boucheanum"
"Lotus angustissimus","Lotus angustissimus","Lotus angustissimus L., 1753",106634,106634,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Lotus angustissimus"
"Lotus corniculatus","Lotus corniculatus","Lotus corniculatus L., 1753",106653,106653,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Lotus corniculatus"
"Lotus hispidus","Lotus hispidus","Lotus hispidus Desf. ex DC., 1805",106678,106678,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Lotus hispidus"
"Lotus edulis","Lotus edulis","Lotus edulis L., 1753",106666,106666,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Lotus edulis"
"Lotus ornithopodioides","Lotus ornithopodioides","Lotus ornithopodioides L., 1753",106694,106694,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Lotus ornithopodioides"
"Lotus parviflorus","Lotus parviflorus","Lotus parviflorus Desf., 1799",106696,106696,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Lotus parviflorus"
"Lotus pedunculatus","Lotus pedunculatus","Lotus pedunculatus Cav., 1793",106698,106698,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Loteae","Lotus pedunculatus"
"Lycopsis arvensis","Lycopsis arvensis","Lycopsis arvensis L., 1753",107027,107027,"Angiospermes","Boraginales","Boraginaceae","","","Lycopsis arvensis"
