"nom_eni","nom_eni_fusion_trait","NOM_VALIDE","CD_NOM","CD_REF","GROUP2_INPN","ORDRE","FAMILLE","SOUS_FAMILLE","TRIBU","nom_eni_syn"
"Spergula arvensis","Spergula arvensis","Spergula arvensis L., 1753",124499,124499,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Spergula arvensis"
"Spergula rubra","Spergula rubra","Spergularia rubra (L.) J.Presl & C.Presl, 1819",124528,124578,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Spergularia rubra"
"Stachys annua","Stachys annua","Stachys annua (L.) L., 1763",124741,124741,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys annua"
"Stachys arvensis","Stachys arvensis","Stachys arvensis (L.) L., 1763",124744,124744,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys arvensis"
"Stachys palustris","Stachys palustris","Stachys palustris L., 1753",124798,124798,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys palustris"
"Stachys recta","Stachys recta","Stachys recta L., 1767",124805,124805,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys recta"
"Stachys sylvatica","Stachys sylvatica","Stachys sylvatica L., 1753",124814,124814,"Angiospermes","Lamiales","Lamiaceae","Lamioideae","Stachydeae","Stachys sylvatica"
"Stellaria media","Stellaria media","Stellaria media (L.) Vill., 1789",125014,125014,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Stellaria media"
"Stellaria graminea","Stellaria graminea","Stellaria graminea L., 1753",125000,125000,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Stellaria graminea"
"Stellaria holostea","Stellaria holostea","Rabelera holostea (L.) M.T.Sharples & E.A.Tripp, 2019",125006,999933,"Angiospermes","Caryophyllales","Caryophyllaceae","","","Rabelera holostea"
"Succisa pratensis","Succisa pratensis","Succisa pratensis Moench, 1794",125295,125295,"Angiospermes","Dipsacales","Caprifoliaceae","","","Succisa pratensis"
"Symphyotrichum subulatum","Symphyotrichum subulatum","Symphyotrichum subulatum (Michx.) G.L.Nesom, 1995",448413,448413,"Angiospermes","Asterales","Asteraceae","Asteroideae","Astereae","Symphyotrichum subulatum"
"Symphytum officinale","Symphytum officinale","Symphytum officinale L., 1753",125355,125355,"Angiospermes","Boraginales","Boraginaceae","","","Symphytum officinale"
"Tagetes minuta","Tagetes minuta","Tagetes minuta L., 1753",125404,125404,"Angiospermes","Asterales","Asteraceae","Asteroideae","Tageteae","Tagetes minuta"
"Tanacetum vulgare","Tanacetum vulgare","Tanacetum vulgare L., 1753",125474,125474,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Tanacetum vulgare"
"Teucrium scorodonia","Teucrium scorodonia","Teucrium scorodonia L., 1753",126035,126035,"Angiospermes","Lamiales","Lamiaceae","Ajugoideae","","Teucrium scorodonia"
"Thlaspi arvense","Thlaspi arvense","Thlaspi arvense L., 1753",126332,126332,"Angiospermes","Brassicales","Brassicaceae","","","Thlaspi arvense"
"Thymus vulgaris","Thymus vulgaris","Thymus vulgaris L., 1753",126582,126582,"Angiospermes","Lamiales","Lamiaceae","Nepetoideae","Mentheae","Thymus vulgaris"
"Tolpis umbellata","Tolpis umbellata","Tolpis umbellata Bertol., 1803",126822,126822,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Tolpis umbellata"
"Tordylium maximum","Tordylium maximum","Tordylium maximum L., 1753",126837,126837,"Angiospermes","Apiales","Apiaceae","Apioideae","Tordylieae","Tordylium maximum"
"Torilis arvensis","Torilis arvensis","Torilis arvensis (Huds.) Link, 1821",126846,126846,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Torilis arvensis"
"Torilis japonica","Torilis japonica","Torilis japonica (Houtt.) DC., 1830",126859,126859,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Torilis japonica"
"Torilis nodosa","Torilis nodosa","Torilis nodosa (L.) Gaertn., 1788",126865,126865,"Angiospermes","Apiales","Apiaceae","Apioideae","Scandiceae","Torilis nodosa"
"Tragopogon pratensis","Tragopogon pratensis","Tragopogon pratensis L., 1753",127029,127029,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Tragopogon pratensis"
"Tragopogon dubius","Tragopogon dubius","Tragopogon dubius Scop., 1772",127005,127005,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Tragopogon dubius"
"Tragopogon porrifolius","Tragopogon porrifolius","Tragopogon porrifolius L., 1753",127028,127028,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Tragopogon porrifolius"
"Trifolium repens","Trifolium repens","Trifolium repens L., 1753",127454,127454,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium repens"
"Trifolium campestre","Trifolium campestre","Trifolium aureum Pollich, 1777",127258,127233,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium aureum"
"Trifolium campestre","Trifolium campestre","Trifolium campestre Schreb., 1804",127259,127259,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium campestre"
"Trifolium arvense","Trifolium arvense","Trifolium arvense L., 1753",127230,127230,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium arvense"
"Trifolium scabrum","Trifolium scabrum","Trifolium scabrum L., 1753",127470,127470,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium scabrum"
"Trifolium scabrum","Trifolium scabrum","Trifolium striatum L., 1753",127471,127495,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium striatum"
"Trifolium angustifolium","Trifolium angustifolium","Trifolium angustifolium L., 1753",127223,127223,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium angustifolium"
"Trifolium aureum","Trifolium aureum","Trifolium aureum Pollich, 1777",127233,127233,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium aureum"
"Trifolium aureum","Trifolium aureum","Trifolium patens Schreb., 1804",127234,127429,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium patens"
"Trifolium dubium","Trifolium dubium","Trifolium dubium Sibth., 1794",127294,127294,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium dubium"
"Trifolium fragiferum","Trifolium fragiferum","Trifolium fragiferum L., 1753",127314,127314,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium fragiferum"
"Trifolium glomeratum","Trifolium glomeratum","Trifolium glomeratum L., 1753",127326,127326,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium glomeratum"
"Trifolium hybridum","Trifolium hybridum","Trifolium hybridum L., 1753",127337,127337,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium hybridum"
"Trifolium hybridum","Trifolium hybridum","Trifolium nigrescens Viv., 1808",127338,127402,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium nigrescens"
"Trifolium incarnatum","Trifolium incarnatum","Trifolium incarnatum L., 1753",127340,127340,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium incarnatum"
"Trifolium lappaceum","Trifolium lappaceum","Trifolium lappaceum L., 1753",127361,127361,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium lappaceum"
"Trifolium micranthum","Trifolium micranthum","Trifolium micranthum Viv., 1824",127387,127387,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium micranthum"
"Trifolium nigrescens","Trifolium nigrescens","Trifolium nigrescens Viv., 1808",127402,127402,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium nigrescens"
"Trifolium pratense","Trifolium pratense","Trifolium pratense L., 1753",127439,127439,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium pratense"
"Trifolium resupinatum","Trifolium resupinatum","Trifolium clusii Godr. & Gren., 1849",127456,127274,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium clusii"
"Trifolium resupinatum","Trifolium resupinatum","Trifolium fragiferum L., 1753",127455,127314,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium fragiferum"
"Trifolium resupinatum","Trifolium resupinatum","Trifolium resupinatum L., 1753",127457,127457,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium resupinatum"
"Trifolium stellatum","Trifolium stellatum","Trifolium stellatum L., 1753",127491,127491,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium stellatum"
"Trifolium subterraneum","Trifolium subterraneum","Trifolium subterraneum L., 1753",127498,127498,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium subterraneum"
"Trifolium tomentosum","Trifolium tomentosum","Trifolium tomentosum L., 1753",127506,127506,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Trifolium tomentosum"
"Tripleurospermum inodorum","Tripleurospermum inodorum","Tripleurospermum inodorum (L.) Sch.Bip., 1844",127613,127613,"Angiospermes","Asterales","Asteraceae","Asteroideae","Anthemideae","Tripleurospermum inodorum"
"Trisetum flavescens","Trisetum flavescens","Trisetum flavescens (L.) P.Beauv., 1812",127660,127660,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Trisetum flavescens"
"Triticum aestivum","Triticum aestivum","Triticum aestivum L., 1753 [nom. cons.]",127692,127692,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Triticum aestivum"
"Triticum aestivum","Triticum aestivum","Triticum aestivum L., 1753 [nom. cons.]",127693,127692,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Triticum aestivum"
"Triticum turgidum","Triticum turgidum","Triticum turgidum L., 1753",127827,127827,"Angiospermes","Poales","Poaceae","Pooideae","Triticeae","Triticum turgidum"
"Tussilago farfara","Tussilago farfara","Tussilago farfara L., 1753",128042,128042,"Angiospermes","Asterales","Asteraceae","Asteroideae","Senecioneae","Tussilago farfara"
"Ulex europaeus","Ulex europaeus","Ulex europaeus L., 1753",128114,128114,"Angiospermes","Fabales","Fabaceae","Papilionoideae","Genisteae","Ulex europaeus"
"Ulmus minor","Ulmus minor","Ulmus minor Mill., 1768",128175,128175,"Angiospermes","Rosales","Ulmaceae","","","Ulmus minor"
"Urospermum dalechampii","Urospermum dalechampii","Urospermum dalechampii (L.) Scop. ex F.W.Schmidt, 1795",128255,128255,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Urospermum dalechampii"
"Urospermum picroides","Urospermum picroides","Urospermum picroides (L.) Scop. ex F.W.Schmidt, 1795",128256,128256,"Angiospermes","Asterales","Asteraceae","Cichorioideae","Cichorieae","Urospermum picroides"
"Urtica dioica","Urtica dioica","Urtica dioica L., 1753",128268,128268,"Angiospermes","Rosales","Urticaceae","","Urticeae","Urtica dioica"
"Valerianella locusta","Valerianella locusta","Valerianella locusta (L.) Laterr., 1821",128476,128476,"Angiospermes","Dipsacales","Caprifoliaceae","","","Valerianella locusta"
"Valeriana officinalis","Valeriana officinalis","Valeriana officinalis L., 1753",128419,128419,"Angiospermes","Dipsacales","Caprifoliaceae","","","Valeriana officinalis"
"Valerianella microcarpa","Valerianella microcarpa","Valerianella microcarpa Loisel., 1810",128479,128479,"Angiospermes","Dipsacales","Caprifoliaceae","","","Valerianella microcarpa"
"Valerianella dentata","Valerianella dentata","Valerianella dentata (L.) Pollich, 1776",128467,128467,"Angiospermes","Dipsacales","Caprifoliaceae","","","Valerianella dentata"
"Valerianella discoidea","Valerianella discoidea","Valerianella discoidea (L.) Loisel., 1810",128468,128468,"Angiospermes","Dipsacales","Caprifoliaceae","","","Valerianella discoidea"
"Valerianella eriocarpa","Valerianella eriocarpa","Valerianella eriocarpa Desv., 1809",128470,128470,"Angiospermes","Dipsacales","Caprifoliaceae","","","Valerianella eriocarpa"
"Verbascum sinuatum","Verbascum sinuatum","Verbascum sinuatum L., 1753",128651,128651,"Angiospermes","Lamiales","Scrophulariaceae","","Scrophularieae","Verbascum sinuatum"
"Verbascum densiflorum","Verbascum densiflorum","Verbascum densiflorum Bertol., 1810",128567,128567,"Angiospermes","Lamiales","Scrophulariaceae","","Scrophularieae","Verbascum densiflorum"
"Verbascum pulverulentum","Verbascum pulverulentum","Verbascum lychnitis L., 1753",128634,128602,"Angiospermes","Lamiales","Scrophulariaceae","","Scrophularieae","Verbascum lychnitis"
"Verbascum pulverulentum","Verbascum pulverulentum","Verbascum pulverulentum Vill., 1779",128633,128633,"Angiospermes","Lamiales","Scrophulariaceae","","Scrophularieae","Verbascum pulverulentum"
"Verbascum thapsus","Verbascum thapsus","Verbascum thapsus L., 1753",128660,128660,"Angiospermes","Lamiales","Scrophulariaceae","","Scrophularieae","Verbascum thapsus"
"Verbena officinalis","Verbena officinalis","Verbena officinalis L., 1753",128754,128754,"Angiospermes","Lamiales","Verbenaceae","","Verbeneae","Verbena officinalis"
"Veronica arvensis","Veronica arvensis","Veronica arvensis L., 1753",128801,128801,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica arvensis"
"Veronica polita","Veronica polita","Veronica polita Fr., 1819",128963,128963,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica polita"
"Veronica anagallis-aquatica","Veronica anagallis-aquatica","Veronica anagallis-aquatica L., 1753",128792,128792,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica anagallis-aquatica"
"Veronica chamaedrys","Veronica chamaedrys","Veronica chamaedrys L., 1753",128832,128832,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica chamaedrys"
"Veronica cymbalaria","Veronica cymbalaria","Veronica cymbalaria Bodard, 1798",128842,128842,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica cymbalaria"
"Veronica filiformis","Veronica filiformis","Veronica filiformis Sm., 1791",128863,128863,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica filiformis"
"Veronica hederifolia","Veronica hederifolia","Veronica hederifolia L., 1753",128880,128880,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica hederifolia"
"Veronica persica","Veronica persica","Veronica persica Poir., 1808",128956,128956,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica persica"
"Veronica officinalis","Veronica officinalis","Veronica officinalis L., 1753",128938,128938,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica officinalis"
"Veronica serpyllifolia","Veronica serpyllifolia","Veronica serpyllifolia L., 1753",129003,129003,"Angiospermes","Lamiales","Plantaginaceae","","Veroniceae","Veronica serpyllifolia"
"Vicia cracca","Vicia cracca","Vicia cracca L., 1753",129147,129147,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia cracca"
"Vicia sativa","Vicia sativa","Vicia sativa L., 1753",129298,129298,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia sativa"
"Vicia lathyroides","Vicia lathyroides","Vicia lathyroides L., 1753",129207,129207,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia lathyroides"
"Vicia bithynica","Vicia bithynica","Vicia bithynica (L.) L., 1759",129127,129127,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia bithynica"
"Vicia faba","Vicia faba","Vicia faba L., 1753",129171,129171,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia faba"
"Ervilia hirsuta","Ervilia hirsuta","Ervilia hirsuta (L.) Opiz, 1852",97084,97084,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Ervilia hirsuta"
"Vicia hybrida","Vicia hybrida","Vicia hybrida L., 1753",129195,129195,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia hybrida"
"Vicia lutea","Vicia lutea","Vicia hybrida L., 1753",129226,129195,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia hybrida"
"Vicia lutea","Vicia lutea","Vicia lutea L., 1753",129225,129225,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia lutea"
"Ervum pubescens","Ervum pubescens","Ervum pubescens DC., 1813",97116,97116,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Ervum pubescens"
"Vicia sepium","Vicia sepium","Vicia sepium L., 1753",129305,129305,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia sepium"
"Vicia tenuifolia","Vicia tenuifolia","Vicia tenuifolia Roth, 1788",129322,129322,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia tenuifolia"
"Ervum tetraspermum","Ervum tetraspermum","Ervum tetraspermum L., 1753",97128,97128,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Ervum tetraspermum"
"Vicia villosa","Vicia villosa","Vicia benghalensis L., 1753",129341,129124,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia benghalensis"
"Vicia villosa","Vicia villosa","Vicia villosa Roth, 1793",129340,129340,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia villosa"
"Vicia dasycarpa","Vicia dasycarpa","Vicia dasycarpa Ten., 1829",129153,129153,"Angiospermes","Fabales","Fabaceae","Papilionoideae","","Vicia dasycarpa"
"Viola arvensis","Viola arvensis","Viola arvensis Murray, 1770",129506,129506,"Angiospermes","Malpighiales","Violaceae","","","Viola arvensis"
"Viola hirta","Viola hirta","Viola hirta L., 1753",129586,129586,"Angiospermes","Malpighiales","Violaceae","","","Viola hirta"
"Vitis rupestris","Vitis rupestris","Vitis rupestris Scheele, 1848",129961,129961,"Angiospermes","Vitales","Vitaceae","Vitoideae","Viteae","Vitis rupestris"
"Vitis vinifera","Vitis vinifera","Vitis vinifera L., 1753",129968,129968,"Angiospermes","Vitales","Vitaceae","Vitoideae","Viteae","Vitis vinifera"
"Vulpia myuros","Vulpia myuros","Vulpia alopecuros (Schousb.) Dumort., 1824",621041,129993,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia alopecuros"
"Vulpia myuros","Vulpia myuros","Vulpia myuros (L.) C.C.Gmel., 1805",130028,130028,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia myuros"
"Vulpia bromoides","Vulpia bromoides","Vulpia bromoides (L.) Gray, 1821",129997,129997,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia bromoides"
"Vulpia ciliata","Vulpia ciliata","Vulpia alopecuros (Schousb.) Dumort., 1824",130000,129993,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia alopecuros"
"Vulpia ciliata","Vulpia ciliata","Vulpia ciliata Dumort., 1824",129999,129999,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia ciliata"
"Vulpia fasciculata","Vulpia fasciculata","Vulpia fasciculata (Forssk.) Fritsch, 1909",130005,130005,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia fasciculata"
"Vulpia ligustica","Vulpia ligustica","Vulpia ligustica (All.) Link, 1827",130015,130015,"Angiospermes","Poales","Poaceae","Pooideae","Poeae","Vulpia ligustica"
"Xanthium orientale gpe","Xanthium orientale","Xanthium orientale L., 1763",130484,130484,"Angiospermes","Asterales","Asteraceae","Asteroideae","Heliantheae","Xanthium orientale"
"Xanthium orientale gpe","Xanthium orientale","Xanthium strumarium L., 1753",637361,130492,"Angiospermes","Asterales","Asteraceae","Asteroideae","Heliantheae","Xanthium strumarium"
"Zea mays","Zea mays","Zea mays L., 1753",130621,130621,"Angiospermes","Poales","Poaceae","Panicoideae","Andropogoneae","Zea mays"
