"","nom_eni","total"
"74","Atocion armeria",3
"75","Atriplex patula",37
"76","Atriplex prostrata",1
"77","Avena barbata",1114
"78","Avena sativa gpe",1747
"79","Avenula pratensis",10
"80","Avenula pubescens",4
"81","Ballota nigra",1
"82","Barbarea intermedia",1
"83","Bartsia trixago",2
"84","Bellis perennis",467
"85","Berula erecta",2
"86","Beta vulgaris subsp. maritima",12
"87","Beta vulgaris subsp. vulgaris",8
"88","Betula pendula",7
"89","Bidens tripartita",1
"90","Bituminaria bituminosa",68
"91","Borago officinalis",4
"92","Brachypodium distachyon",6
"93","Brachypodium phoenicoides",111
"94","Brachypodium rupestre",157
"95","Brachypodium sylvaticum",17
"96","Brassica napus",40
"97","Brassica nigra",14
"98","Briza media",18
"99","Briza minor",26
"100","Bromopsis erecta",25
"101","Bromopsis inermis",13
"102","Bromopsis ramosa",19
"103","Bromus arvensis",58
"104","Bromus commutatus gpe",165
"105","Bromus hordeaceus",3009
"106","Bromus secalinus",48
"107","Bryonia cretica subsp. dioica",22
"108","Buglossoides arvensis",7
"109","Buglossoides purpurocaerulea",1
"110","Bunias erucago",27
"111","Calendula arvensis",197
"112","Campanula erinus",4
"113","Campanula rapunculus",3
"114","Campanula rotundifolia",40
"115","Capsella bursa-pastoris",754
"116","Cardamine hirsuta",100
"117","Cardamine pratensis",9
"118","Carduus nigrescens",1
"119","Carduus nutans",1
"120","Carduus pycnocephalus",26
"121","Carduus tenuiflorus",4
"122","Carex divulsa",50
"123","Carex flacca",19
"124","Carex halleriana",7
"125","Carex hirta",106
"126","Carex otrubae",21
"127","Carex riparia",1
"128","Carex vulpina",19
"129","Carpinus betulus",1
"130","Carthamus lanatus",3
"131","Catapodium rigidum",23
"132","Caucalis platycarpos",2
"133","Centaurea aspera",1
"134","Centaurea jacea",201
"135","Centaurea scabiosa",6
"136","Centaurea solstitialis",11
"137","Centaurium erythraea",23
"138","Centaurium tenuiflorum",2
"139","Centranthus calcitrapae",19
"140","Cerastium arvense",5
"141","Cerastium brachypetalum",1
"142","Cerastium diffusum",1
"143","Cerastium fontanum subsp. vulgare",320
"144","Cerastium glomeratum",436
"145","Cerastium pumilum",14
"146","Ceratochloa cathartica",76
"147","Cervaria rivini",3
"148","Chaerophyllum temulum",15
"149","Chelidonium majus",5
"150","Chenopodiastrum hybridum",1
"151","Chenopodium album",1329
"152","Chenopodium vulvaria",4
"153","Chondrilla juncea",261
"154","Cichorium intybus",109
"155","Cirsium arvense",3070
"156","Cirsium oleraceum",1
"157","Cirsium palustre",4
"158","Cirsium vulgare",83
"159","Cistus salviifolius",1
"160","Cladanthus mixtus",9
"161","Clematis flammula",9
"162","Clematis vitalba",108
"163","Clinopodium vulgare",6
"164","Coleostephus myconis",4
"165","Conium maculatum",12
"166","Conopodium majus",24
"167","Convolvulus arvensis",9015
"168","Convolvulus sepium",1857
"169","Cornus mas",14
"170","Cornus sanguinea",27
"171","Coronilla varia",52
"172","Cota tinctoria",6
"173","Crassula tillaea",12
"174","Crataegus monogyna",14
"175","Crepis biennis",12
"176","Crepis capillaris",64
"177","Crepis foetida",80
"178","Crepis leontodontoides",2
"179","Crepis sancta",510
"180","Crepis setosa",53
"181","Crepis vesicaria subsp. taraxacifolia",98
"182","Cruciata glabra",3
"183","Cruciata laevipes",205
"184","Cyanus segetum",155
"185","Cynodon dactylon",1346
"186","Cynoglossum creticum",3
"187","Cynosurus cristatus",14
"188","Cyperus eragrostis",3
"189","Cyperus longus",58
"190","Dactylis glomerata",8104
"191","Datura stramonium",19
"192","Daucus carota",2895
"193","Dianthus armeria",45
"194","Dianthus carthusianorum",2
"195","Digitalis purpurea",2
"196","Digitaria ischaemum",2
"197","Digitaria sanguinalis",248
"198","Diplotaxis erucoides",197
"199","Diplotaxis tenuifolia",9
"200","Dipsacus fullonum",40
"201","Dittrichia viscosa",35
"202","Dryopteris filix-mas",2
"203","Dysphania ambrosioides",5
"204","Echinochloa crus-galli",568
"205","Echium plantagineum",56
"206","Echium vulgare",38
"207","Elymus caninus",11
"208","Elytrigia campestris",170
"209","Elytrigia repens",5775
"210","Epilobium angustifolium",1
